,pdb_id,chain,curvature_mean,curvature_std,twist_mean,twist_std,twisthand_mean,twisthand_std,pitch_mean,pitch_std,pitchhand_mean,pitchhand_std,TMscore_mean,TMscore_std,yaw_mean,yaw_std
0,4zb5,A,0.8790280343350785,0.22323846474347955,0.2861620231582056,0.21247937027635658,0.14285714285714285,0.989743318610787,0.22359759882871702,0.11863189546040162,-0.14285714285714285,0.989743318610787,0.4084179506716188,0.09637312070995423,-0.06581809265450671,0.5552060497911386
1,5zbg,A,0.0025868402767125973,0.00011275451592164816,0.1344174419173747,0.022758882098619287,-1.0,0.0,0.15866686971052912,0.08848398388931528,1.0,0.0,0.6230270615469126,0.03205701632097222,-0.11364965000613374,0.07192543729862266
2,2zb5,A,1.0153229956168526,0.34794490625543956,0.4515928313493016,0.36002554051750274,-0.6,0.8,0.18651024871318392,0.13654483822073177,0.2,0.9797958971132713,0.4565772949708572,0.0465731012574069,-0.04929369062091084,0.44662480747503347
3,4zb4,A,0.8876705420698668,0.11201171633305901,0.7127564380180919,1.0691805112993427,0.0,1.0,0.16798834234212842,0.21916306537987468,0.3333333333333333,0.9428090415820634,0.5335522794556875,0.0953812953689998,-0.4341700655471243,1.0670076972871247
4,4zb2,A,0.8491192667994366,0.2252132588679588,0.3275322356252497,0.18941148687019085,0.14285714285714285,0.989743318610787,0.28617773964240145,0.1012789239459762,0.14285714285714285,0.989743318610787,0.41220526048460443,0.1028583861587267,-0.14372149065342363,0.5447525703184061
5,2zb1,A,1.3557182674052601,0.5144872597448482,1.1089412618159686,0.43840189672484076,-1.0,0.0,0.464371312438149,0.39955627488738843,0.0,1.0,0.21320481204324215,0.016032910927598384,0.1859478038671332,0.2940968814612541
6,4zbc,A,0.8495495160217743,0.22525430764368076,0.2554629766789974,0.1970173355317319,0.42857142857142855,0.9035079029052513,0.2703570217613464,0.15282741486219287,0.14285714285714285,0.989743318610787,0.4127286833287235,0.10238159086714306,0.07521950450032387,0.454305216950731
7,5zb2,A,0.3532578032993292,0.05642300339354219,0.07436423816080723,0.053713241208633425,0.45454545454545453,0.8907235428302466,0.05049377181819689,0.03454188097741176,-0.45454545454545453,0.8907235428302466,0.4863345541361033,0.08985258811049279,-0.03435510235904063,0.07454163535073373
8,4zb0,A,0.8316143702339952,0.2159126412727874,0.2552589402474929,0.19284336352857165,-0.14285714285714285,0.989743318610787,0.26067524065575026,0.17026252358708246,0.14285714285714285,0.989743318610787,0.4040213226800916,0.0964223409032878,-0.08011596156166603,0.5657004074568499
9,4zb4,B,0.8716646247948417,0.12209689223667404,0.24897185031244495,0.19706590017694586,-0.6666666666666666,0.7453559924999298,0.12244324801064514,0.06172190545903559,0.3333333333333333,0.9428090415820634,0.543528941089254,0.07675004800011165,0.1950774769408379,0.29067913784220273
10,4zb0,B,0.9712589504056407,0.318248894325948,0.3048354157913298,0.16208914431405094,-0.3333333333333333,0.9428090415820634,0.1595978514565118,0.09583967628657215,-0.3333333333333333,0.9428090415820634,0.4133510143792258,0.08840258388136725,-0.053828385625342944,0.5324027006256146
11,4zbv,B,1.8728407134783818,0.01958570390975589,0.09442742406153279,0.09093113423190889,0.0,1.0,0.21051479394943684,0.08426932003666676,0.0,1.0,0.7093356968153635,0.015076628813498638,0.26150970711093025,0.05770511235775541
12,2zb6,A,0.9988861200971882,0.346341376414829,0.33996324233318853,0.19370640515494367,-0.6,0.8,0.19195676198744543,0.14448385176486364,0.6,0.8,0.45599337167451565,0.02617654962990481,-0.08014401375843865,0.45966718613963575
13,4zbv,B,1.9860560835336534,0.027719408246928867,0.04270745527691254,0.03241515561553042,0.0,1.0,0.04876848380494225,0.0067792156152315375,-1.0,0.0,0.6490946807651921,0.02620540504532415,0.10437627851670862,0.015120787139926553
14,4zbc,B,0.8746414302633966,0.217465800633436,0.23616610043783628,0.19287351350794482,-0.14285714285714285,0.989743318610787,0.2118503465727932,0.13569408240714942,-0.14285714285714285,0.989743318610787,0.4051308403528334,0.09050092053860784,-0.09023874576492753,0.5780021121391838
15,1zb6,A,1.071864324733956,0.22155523421246143,0.1120072733928071,0.07844770314170836,0.3333333333333333,0.9428090415820634,0.1851297685967014,0.0720282071600844,0.3333333333333333,0.9428090415820634,0.4495153470938835,0.023348966657797798,0.16599050040085794,0.1928263455813832
16,3jb9,U,0.883364453801515,0.1352884892171177,0.08340501442337771,0.04485929486704861,-0.6666666666666666,0.7453559924999298,0.08331289714402523,0.028309668362988767,0.0,1.0,0.7194198644449039,0.10455847005447791,-0.0012971053773232048,0.2419684186582327
